Vodafone-30583178,-88,13,90:35:6e:4a:27:88,WPA2,2019-9-20T16:42:30.0Z,41.070957,16.983068,58.50,167.30,3.93,9
TIM-18574975,-93,1,20:b0:01:1b:6e:7f,WPA2,2019-9-20T16:42:30.0Z,41.070957,16.983068,58.50,167.30,3.93,9
TIM-93192081,-95,1,e0:60:66:ce:75:33,WPA2,2019-9-20T16:42:30.0Z,41.070957,16.983068,58.50,167.30,3.93,9
TISCALI_333E,-84,9,b8:d5:26:11:33:3e,WPA2,2019-9-20T16:43:1.0Z,41.070709,16.983093,58.50,170.59,3.63,9
TIM-18574975,-89,1,20:b0:01:1b:6e:7f,WPA2,2019-9-20T16:43:1.0Z,41.070709,16.983093,58.50,170.59,3.63,9
TIM-93192081,-92,1,e0:60:66:ce:75:33,WPA2,2019-9-20T16:43:1.0Z,41.070709,16.983093,58.50,170.59,3.63,9
Home&Life SuperWiFi-7281,-93,4,c8:54:4b:c4:72:81,WPA2,2019-9-20T16:43:1.0Z,41.070709,16.983093,58.50,170.59,3.63,9
TIM-21283593,-94,11,a4:91:b1:44:c3:09,WPA2,2019-9-20T16:43:1.0Z,41.070709,16.983093,58.50,170.59,3.63,9
Home&Life SuperWiFi-7281,-81,4,c8:54:4b:c4:72:81,WPA2,2019-9-20T16:43:1.0Z,41.070709,16.983093,58.80,170.59,3.63,9
TIM-21283593_EXT,-87,11,08:02:8e:a5:ce:9b,WPA2,2019-9-20T16:43:1.0Z,41.070709,16.983093,58.80,170.59,3.63,9
TIM-21283593,-87,11,a4:91:b1:44:c3:09,WPA2,2019-9-20T16:43:1.0Z,41.070709,16.983093,58.80,170.59,3.63,9
TISCALI_333E,-93,9,b8:d5:26:11:33:3e,WPA2,2019-9-20T16:43:1.0Z,41.070709,16.983093,58.80,170.59,3.63,9
ZyXEL_FF4F,-95,11,90:ef:68:d4:ff:4f,WPA2,2019-9-20T16:43:1.0Z,41.070709,16.983093,58.80,170.59,3.63,9
TIM-21283593,-91,11,a4:91:b1:44:c3:09,WPA2,2019-9-20T16:43:17.0Z,41.070572,16.983116,58.80,170.59,3.09,9
Linkem_13D304,-92,2,80:02:9c:13:d3:05,WPA2,2019-9-20T16:43:17.0Z,41.070572,16.983116,58.80,170.59,3.09,9
TIM-21283593_EXT,-93,11,08:02:8e:a5:ce:9b,WPA2,2019-9-20T16:43:17.0Z,41.070572,16.983116,58.80,170.59,3.09,9
Linkem_13D304,-82,2,80:02:9c:13:d3:05,WPA2,2019-9-20T16:43:33.0Z,41.070396,16.983158,58.80,160.83,4.83,9
Linkem_13D304,-84,2,80:02:9c:13:d3:05,WPA2,2019-9-20T16:43:33.0Z,41.070396,16.983158,62.90,160.83,4.83,9
Telecom-30179161,-92,1,c4:ea:1d:b8:41:59,WPA2,2019-9-20T16:43:33.0Z,41.070396,16.983158,62.90,160.83,4.83,9
TIM-83533192,-82,11,b4:a5:ef:9b:e4:c3,WPA2,2019-9-20T16:43:48.0Z,41.070248,16.983219,62.90,165.73,3.80,9
Vodafone-30160807,-85,4,90:35:6e:8b:eb:78,WPA2,2019-9-20T16:43:48.0Z,41.070248,16.983219,62.90,165.73,3.80,9
Telecom-30179161,-91,1,c4:ea:1d:b8:41:59,WPA2,2019-9-20T16:43:48.0Z,41.070248,16.983219,62.90,165.73,3.80,9
Home&Life SuperWiFi-C265,-93,1,c8:54:4b:b4:c2:65,WPA2,2019-9-20T16:43:48.0Z,41.070248,16.983219,62.90,165.73,3.80,9
FASTWEB-5FQH7R,-94,1,08:6a:0a:e7:b5:9d,WPA2,2019-9-20T16:43:48.0Z,41.070248,16.983219,62.90,165.73,3.80,9
WOW FI - FASTWEB,-95,1,6a:6a:0a:e7:b5:9e,Unknown,2019-9-20T16:43:48.0Z,41.070248,16.983219,62.90,165.73,3.80,9
